,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,Portland,45.5234,-122.6762,279.82,88,45,1.34,US,1612631431
215,Plouzané,48.3833,-4.6167,281.15,76,90,3.09,FR,1612631550
216,Mapiripán,2.8892,-72.1256,301.72,75,91,3.04,CO,1612631551
217,Bantou,26.2151,117.4893,288.54,79,80,0.75,CN,1612631553
218,Buchanan,5.8808,-10.0467,300.15,78,75,1.54,LR,1612631394
219,Ormara,25.2088,64.6357,293.6,45,0,1.28,PK,1612631556
220,Zletovo,41.9886,22.2361,282.15,81,0,1.54,MK,1612631558
221,Carnarvon,-24.8667,113.6333,300.15,100,75,4.63,AU,1612631381
222,Ossora,59.2353,163.0719,264.67,93,100,10.03,RU,1612631534
223,Lachi,33.3833,71.3386,286.15,67,0,0.93,PK,1612631562
224,Roald,62.5833,6.1333,267.04,68,0,0.51,NO,1612631564
225,Porbandar,21.6422,69.6093,293.83,32,0,6.06,IN,1612631566
226,Klyuchi,52.2667,79.1667,270.12,95,31,7.24,RU,1612631567
227,Rind,39.7597,45.18,276.15,81,20,4.12,AM,1612631569
228,Fort Nelson,58.8053,-122.7002,235.15,67,20,1.03,CA,1612631435
229,Grand-Santi,4.25,-54.3833,300.17,90,86,2.14,GF,1612631572
230,Mildura,-34.2,142.15,292.15,63,90,5.66,AU,1612631574
231,Saskylakh,71.9167,114.0833,235.33,81,76,2.25,RU,1612631575
232,Osypenko,46.9136,36.8253,269.82,53,100,2.68,UA,1612631577
233,Ust-Nera,64.5667,143.2,242.66,76,89,2.29,RU,1612631578
234,Purpe,64.4803,76.6897,256.87,94,100,6.9,RU,1612631580
235,Flinders,-34.5833,150.8552,291.48,87,0,0.45,AU,1612631582
236,Chaman,30.9236,66.4512,283.76,40,20,0.52,PK,1612631583
237,Buraidah,26.326,43.975,285.15,100,75,2.57,SA,1612631585
238,Guadalupe y Calvo,26.1,-106.9667,288.07,29,0,2.02,MX,1612631586
239,Sabang,5.8933,95.3214,300.8,80,11,5.5,ID,1612631588
240,Darovskoy,58.77,47.9564,252.14,90,100,4.48,RU,1612631590
241,Derzhavīnsk,51.1,66.3167,274.47,97,100,9.84,KZ,1612631591
242,Guider,9.9342,13.9486,306.15,15,0,3.09,CM,1612631593
243,Buritis,-15.6178,-46.4233,300.32,77,99,3.74,BR,1612631594
244,Imbituba,-28.24,-48.6703,301.15,44,0,6.17,BR,1612631596
245,Shingū,33.7333,135.9833,280.37,78,0,2.89,JP,1612631598
246,Den Helder,52.9599,4.7593,274.26,80,90,12.35,NL,1612631599
247,Saint-Leu,-21.15,55.2833,299.82,62,27,1.14,RE,1612631601
248,Itarema,-2.9248,-39.9167,304.14,55,61,7.02,BR,1612631418
249,Cedar Rapids,42.0083,-91.6441,258.15,72,90,5.66,US,1612630959
250,Nyzhnya Duvanka,49.5846,38.1743,267.74,85,100,6.19,UA,1612631606
251,Marawi,7.9986,124.2928,297.04,91,99,2.24,PH,1612631524
252,Svirsk,53.0858,103.3325,257.8,92,100,2.16,RU,1612631609
253,Utete,-7.986,38.758,297.94,88,42,2.08,TZ,1612631610
254,Bilibino,68.0546,166.4372,250.32,83,0,1.25,RU,1612631447
255,Mulegé,26.8833,-111.9833,294.09,24,1,1.52,MX,1612631614
256,Russell,32.3502,-85.1999,284.15,46,90,5.14,US,1612631615
257,Sept-Îles,50.2001,-66.3821,272.59,93,100,1.54,CA,1612631617
258,El Vendrell,41.2167,1.5333,287.04,100,14,0.89,ES,1612631618
259,Uribia,11.7139,-72.266,304.23,47,30,12.21,CO,1612631620
260,College,64.8569,-147.8028,250.15,70,90,0.45,US,1612631622
261,Ambilobe,-13.2,49.05,297.39,90,99,0.4,MG,1612631623
262,Salalah,17.0151,54.0924,297.15,69,40,4.12,OM,1612631418
263,Wewak,-3.5534,143.6268,299.02,83,99,2.06,PG,1612631359
264,Cherskiy,68.75,161.3,249.87,81,0,3.17,RU,1612631381
265,Gornozavodsk,58.3758,58.3211,260.04,95,100,3.93,RU,1612631630
266,Marsaxlokk,35.8419,14.5431,290.15,67,0,3.09,MT,1612631631
267,Mana,5.6592,-53.7767,300.14,81,78,6.67,GF,1612631633
268,Dalbandin,28.8947,64.4101,287.59,26,0,2.54,PK,1612631463
269,Merauke,-8.4667,140.3333,299.88,84,100,6.8,ID,1612631636
270,Mareeba,-17.0,145.4333,299.15,89,94,1.03,AU,1612631537
271,Esmeraldas,-19.7625,-44.3139,297.15,78,75,6.17,BR,1612631622
272,Noyabrsk,63.1994,75.4507,264.94,97,100,3.55,RU,1612631641
273,Lompoc,34.6391,-120.4579,286.15,76,1,2.57,US,1612631642
274,Pisco,-13.7,-76.2167,297.04,83,75,4.12,PE,1612631389
275,Caniço,32.6333,-16.85,289.15,63,40,4.12,PT,1612631645
276,Naze,28.3667,129.4833,289.52,82,98,3.2,JP,1612631647
277,Adré,13.4667,22.2,294.61,19,0,5.36,TD,1612631649
278,Calvinia,-31.4707,19.776,299.42,31,0,8.75,ZA,1612631650
279,Gillette,44.2911,-105.5022,257.15,78,90,3.6,US,1612631458
280,Babanka,48.7097,30.4483,266.48,93,92,1.51,UA,1612631654
281,Champotón,19.35,-90.7167,304.15,55,1,4.12,MX,1612631655
282,Port Macquarie,-31.4333,152.9167,294.26,99,74,2.48,AU,1612631657
283,Chimbarongo,-34.7,-71.05,291.15,82,90,2.57,CL,1612631658
284,High Level,58.5169,-117.136,233.15,74,20,0.97,CA,1612631660
285,Petropavlovsk-Kamchatskiy,53.0452,158.6483,268.15,63,100,10.0,RU,1612631539
286,Madison Heights,42.4859,-83.1052,266.48,63,75,5.66,US,1612631663
287,Stawell,-37.05,142.7667,287.77,80,55,2.9,AU,1612631665
288,Kununurra,-15.7667,128.7333,300.15,94,75,2.57,AU,1612631510
289,Udachny,66.4167,112.4,235.32,79,0,1.88,RU,1612631460
290,Tevaitoa,-16.7833,-151.5,300.61,69,3,4.73,PF,1612631670
291,Isla Mujeres,21.2311,-86.731,302.15,70,40,5.14,MX,1612631671
292,Vanimo,-2.6741,141.3028,298.19,85,99,1.92,PG,1612631545
293,Rio Grande,-32.035,-52.0986,299.82,61,20,2.57,BR,1612631675
294,Evensk,61.95,159.2333,259.47,89,100,6.84,RU,1612631397
295,Rodrigues Alves,-7.738,-72.6509,302.15,79,75,3.09,BR,1612631678
296,Vila Franca do Campo,37.7167,-25.4333,288.15,88,40,7.72,PT,1612631537
297,Katete,-0.7818,29.7544,294.52,54,72,0.84,UG,1612631681
298,Katsuura,35.1333,140.3,282.15,61,0,3.09,JP,1612631683
299,Kuznechnoye,61.12,29.8686,261.48,94,28,2.95,RU,1612631684
300,Ibotirama,-12.1853,-43.2206,302.53,59,99,2.95,BR,1612631686
301,Kampene,-3.6,26.6667,295.5,91,84,1.23,CD,1612631687
302,Panan,15.2134,120.0272,298.15,88,40,3.09,PH,1612631689
303,St. George's,12.0564,-61.7485,303.15,51,20,10.8,GD,1612631691
304,Owando,-0.4819,15.8999,301.94,58,35,0.52,CG,1612631692
305,Grafton,42.207,-71.6856,277.04,44,20,10.8,US,1612631694
306,Adrar,20.5022,-10.0711,294.58,23,43,6.69,MR,1612631695
307,Khor,47.8861,134.9464,249.0,90,99,0.74,RU,1612631697
308,Codrington,-38.2667,141.9667,287.76,79,91,6.72,AU,1612631406
309,Oneonta,42.4529,-75.0638,269.82,58,75,2.68,US,1612631482
310,Port-Gentil,-0.7193,8.7815,302.15,79,40,4.63,GA,1612631694
311,Marrakesh,31.6315,-8.0083,284.15,82,75,5.66,MA,1612631581
